trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar
2015-12-30,19.3522,19.3522,16.5911,18.7692,20.4858,5148812.91,-1.7165999999999997,-8.3795,11533336.9626,18.7692,18.7692,0.0,0.0,0.0
2015-12-31,17.587,18.0891,16.8907,16.8907,18.7692,2801829.75,-1.8785000000000025,-10.0084,5993870.7678,18.480200000000004,18.630051851851853,-0.14985185185184946,-0.029970370370369894,-0.23976296296295913
2016-01-04,16.3563,17.1417,15.3846,15.8947,16.8907,1533407.96,-0.9959999999999988,-5.8967,3074335.0894,18.082430769230772,18.42743319615912,-0.3450024269283496,-0.09297678168196584,-0.5040512904927675
2016-01-05,15.668,16.4696,15.0445,15.7895,15.8947,1624083.18,-0.1051999999999999,-0.6619,3170522.6064,17.729672189349113,18.232030737184374,-0.5023585478352608,-0.17485313491262483,-0.6550108258452719
2016-01-06,15.6761,15.8704,15.2308,15.7976,15.7895,1244261.09,0.0080999999999988,0.0513,2388081.444,17.432430314064632,18.051702534429975,-0.6192722203653425,-0.2637369520031684,-0.7110705367243482
2016-01-07,15.5951,15.5951,14.2267,14.2753,15.7976,316123.43,-1.5222999999999995,-9.6363,582790.6474,16.946717958054688,17.77196901336109,-0.8252510553064027,-0.3760397726638153,-0.898422565285175
2016-01-08,14.6397,14.8016,13.1255,13.7895,14.2753,1536062.61,-0.4857999999999993,-3.4031,2654856.4766,16.460992118353964,17.476971308667675,-1.0159791903137112,-0.5040276561937945,-1.0239030682398333
2016-01-11,13.336,13.3603,12.413,12.413,13.7895,1518530.2,-1.3765,-9.9822,2420680.2215,15.838224100145663,17.10186232284044,-1.2636382226947767,-0.655949769493991,-1.2153769064015714
2016-01-12,12.3644,13.6032,12.2105,13.1012,12.413,1405773.03,0.6882000000000001,5.5442,2257678.4897,15.417143469354022,16.805516965593,-1.3883734962389784,-0.8024345148429886,-1.1718779627919798
2016-01-13,13.0364,13.8623,12.7773,13.1174,13.1012,1160567.54,0.0161999999999995,0.1237,1905178.3112,15.063336781761095,16.532323116289813,-1.4689863345287186,-0.9357448787801346,-1.0664829114971681
2016-01-14,12.6316,14.1619,12.5587,14.1619,13.1174,1471695.05,1.044499999999999,7.9627,2472379.7918,14.924654199951695,16.356736218786864,-1.4320820188351693,-1.0350123067911416,-0.7941394240880553
2016-01-15,13.8543,14.1053,13.2874,13.4413,14.1619,970282.63,-0.7205999999999992,-5.0883,1640173.4038,14.696445861497587,16.14077798035821,-1.444332118860622,-1.1168762692050378,-0.6549116993111683
2016-01-18,13.3198,13.8138,13.2551,13.5304,13.4413,757322.77,0.0891000000000001,0.6629,1271748.1255,14.517054190497959,15.947416648479823,-1.4303624579818646,-1.1795735069604032,-0.5015779020429227
2016-01-19,13.7085,14.0486,13.3603,13.9109,13.5304,912712.47,0.3804999999999996,2.8122,1546888.4423,14.423799699652118,15.796563563407243,-1.3727638637551252,-1.2182115783193477,-0.30910457087155496
2016-01-20,13.7652,13.8785,13.1174,13.2794,13.9109,866212.39,-0.6314999999999991,-4.5396,1442186.8001,14.247738207397946,15.610107003154855,-1.3623687957569093,-1.24704302180686,-0.23065154790009856
2016-01-21,13.0607,13.4818,12.7935,12.8097,13.2794,684784.19,-0.4697000000000013,-3.5371,1109114.9044,14.026501560105954,15.402669447365607,-1.376167887259653,-1.2728679948974186,-0.20659978472446872
2016-01-22,13.0445,13.1012,12.6154,12.8826,12.8097,468611.38,0.0729000000000006,0.5691,745103.9825,13.850516704705038,15.215997636449638,-1.3654809317445995,-1.2913905822668548,-0.14818069895548946
2016-01-25,13.0283,13.1093,12.8178,12.9312,12.8826,362214.63,0.0486000000000004,0.3773,580164.7384,13.709083365519646,15.046753367082998,-1.3376700015633514,-1.300646466126154,-0.07404707087439455
2016-01-26,12.7935,12.8178,11.6356,11.6437,12.9312,652801.26,-1.2874999999999996,-9.9565,983302.1383,13.391332078516625,14.794675339891665,-1.4033432613750403,-1.3211858251759314,-0.16431487239821774
2016-01-27,11.7328,11.8138,10.834,11.5142,11.6437,726844.74,-0.1295000000000001,-1.1122,1020051.2282,13.102542527975604,14.551677166566357,-1.4491346385907526,-1.3467755878588958,-0.2047181014637136
2016-01-28,11.3198,11.7976,11.1741,11.1741,11.5142,518813.03,-0.3401000000000014,-2.9537,737825.7076,12.805859062133203,14.301486265339218,-1.4956272032060145,-1.3765459109283196,-0.23816258455538986
2016-01-29,11.2713,11.7895,11.2065,11.6761,11.1741,557289.11,0.5020000000000007,4.4925,797823.5915,12.632049975651173,14.107013208647423,-1.4749632329962505,-1.3962293753419057,-0.15746771530868964
2016-02-01,11.6923,11.7004,11.2308,11.417,11.6761,349315.73,-0.2591000000000001,-2.2191,496097.8488,12.445119210166377,13.907752970969836,-1.4626337608034596,-1.4095102524342167,-0.10624701673848591
2016-02-02,11.498,12.5506,11.4494,12.17,11.417,679399.63,0.7530000000000001,6.5954,1009677.1937,12.40279317783309,13.779030528675774,-1.3762373508426844,-1.4028556721159102,0.05323664254645166
2016-02-03,12.1457,12.6478,11.919,12.3644,12.17,720891.75,0.1943999999999999,1.5974,1098101.7092,12.396886535089537,13.674243082107198,-1.2773565470176607,-1.3777558470962603,0.2007986001571993
2016-02-04,12.3644,12.583,12.2267,12.3725,12.3644,464941.13,0.0081000000000006,0.0655,712376.5345,12.393134760460377,13.577817668617776,-1.1846829081573986,-1.339141259308488,0.3089167023021786
2016-02-05,12.3968,12.4939,12.0972,12.1053,12.3725,346812.68,-0.2672000000000007,-2.1596,525554.7363,12.348852489620318,13.4687422857572,-1.1198897961368814,-1.2952909666741668,0.35080234107457064
2016-02-15,11.587,12.0243,11.587,11.8543,12.1053,358956.9,-0.2509999999999994,-2.0735,524980.7145,12.272767491217191,13.349153968293704,-1.0763864770765128,-1.251510068754636,0.3502471833562466
2016-02-16,11.9352,12.5992,11.9109,12.2996,11.8543,498782.75,0.4452999999999996,3.7564,759761.5504,12.276895569491469,13.271409229901579,-0.9945136604101101,-1.200110787085731,0.4111942533512418
2016-02-17,12.2672,12.6154,12.2267,12.4858,12.2996,437895.04,0.1861999999999994,1.5139,673142.895,12.309034712646627,13.213215953612574,-0.9041812409659471,-1.1409248778617744,0.4734872737916547
2016-02-18,12.5506,12.9393,12.3968,12.4291,12.4858,511054.44,-0.0566999999999993,-0.4541,797581.1609,12.327506295316375,13.155133290382011,-0.8276269950656356,-1.0782653013025467,0.5012766124738222
2016-02-19,12.4615,12.5263,12.0567,12.2024,12.4291,512914.84,-0.2266999999999992,-1.8239,776678.8711,12.30825917296001,13.084560454057417,-0.7763012810974068,-1.0178724972615187,0.48314243232822385
2016-02-22,12.5101,12.6397,12.332,12.4696,12.2024,678282.52,0.267199999999999,2.1897,1047169.4854,12.33308083865847,13.039007827830941,-0.7059269891724718,-0.9554833956437094,0.49911281294247534
2016-02-23,12.5344,12.6478,12.2591,12.4211,12.4696,477176.88,-0.0485000000000006,-0.3889,735052.6207,12.346622248095628,12.993236877621243,-0.6466146295256152,-0.8937096424200907,0.4941900257889509
