trade_date,open,close,high,low,volume,vol,pre_close,change,pct_chg,amount,ma5,ma10,ma20,ma30,ma48
2010-03-17,18.344,19.328,19.396,18.324,542471.72,542471.72,18.264,1.064,5.8257,2572077.341,18.6592,18.5696,18.651400000000002,18.868933333333334,19.457916666666666
2010-03-18,19.2,19.2,19.472,19.16,342503.71,342503.71,19.328,-0.1280000000000001,-0.6623,1654213.818,18.7392,18.687199999999997,18.613400000000002,18.885066666666667,19.408833333333334
2010-03-19,19.22,19.384,19.4,19.04,246530.96,246530.96,19.2,0.184000000000001,0.9583,1185927.248,18.884,18.806,18.581,18.9116,19.357916666666664
2010-03-22,19.368,19.356,19.52,19.244,229700.86,229700.86,19.384,-0.0279999999999986,-0.1444,1114155.52,19.1064,18.8952,18.5672,18.918799999999997,19.31608333333333
2010-03-23,19.416,19.068,19.46,19.0,186492.27,186492.27,19.356,-0.2880000000000002,-1.4879,894180.177,19.2672,18.919999999999998,18.6262,18.921733333333336,19.276500000000002
2010-03-24,19.164,19.148,19.4,19.068,174730.94,174730.94,19.068,0.0799999999999983,0.4196,839938.797,19.2312,18.9452,18.6914,18.895599999999998,19.24116666666667
2010-03-25,19.144,18.88,19.144,18.8,157148.78,157148.78,19.148,-0.2680000000000007,-1.3996,743771.888,19.1672,18.953200000000002,18.731,18.867599999999996,19.198083333333333
2010-03-26,18.852,19.296,19.516,18.84,285246.67,285246.67,18.88,0.4160000000000003,2.2034,1377169.96,19.1496,19.0168,18.7954,18.869866666666667,19.159583333333334
2010-03-29,19.48,20.096,20.272,19.444,534401.36,534401.36,19.296,0.8000000000000007,4.1459,2674552.882,19.2976,19.202,18.8662,18.898533333333333,19.158916666666666
2010-03-30,20.1,20.336,20.4,20.044,340008.13,340008.13,20.096,0.2399999999999984,1.1943,1723131.042,19.5512,19.4092,18.9514,18.92666666666667,19.15775
2010-03-31,20.26,20.16,20.36,20.068,203797.91,203797.91,20.336,-0.1759999999999983,-0.8655,1028863.829,19.7536,19.492399999999996,19.031,18.931733333333334,19.152083333333334
2010-04-01,20.16,20.508,20.64,20.16,239154.25,239154.25,20.16,0.347999999999999,1.7262,1221550.156,20.0792,19.6232,19.1552,18.95,19.159916666666668
2010-04-02,20.56,20.604,20.744,20.4,176385.06,176385.06,20.508,0.096,0.4681,907552.88,20.340799999999998,19.7452,19.2756,18.969066666666667,19.167666666666666
2010-04-06,20.8,20.372,20.852,20.244,202924.31,202924.31,20.604,-0.2319999999999993,-1.126,1041034.328,20.395999999999997,19.846799999999998,19.371000000000002,18.993733333333335,19.184083333333334
2010-04-07,20.268,20.332,20.548,20.124,163406.51,163406.51,20.372,-0.0399999999999991,-0.1963,829878.863,20.3952,19.9732,19.4466,19.0752,19.191583333333334
2010-04-08,20.308,19.872,20.308,19.796,245340.44,245340.44,20.332,-0.4600000000000008,-2.2624,1229851.543,20.337600000000002,20.0456,19.495399999999997,19.1428,19.18916666666667
2010-04-09,19.98,20.28,20.328,19.884,215742.61,215742.61,19.872,0.4080000000000012,2.0531,1084809.883,20.292,20.1856,19.569399999999998,19.215866666666667,19.19708333333333
2010-04-12,20.28,19.968,20.384,19.644,308654.49,308654.49,20.28,-0.3120000000000011,-1.5385,1544584.742,20.164800000000003,20.2528,19.634800000000002,19.281200000000002,19.20775
2010-04-13,20.012,20.756,20.88,20.012,603602.78,603602.78,19.968,0.7880000000000003,3.9463,3113389.101,20.2416,20.3188,19.760399999999997,19.350399999999997,19.243416666666665
2010-04-14,20.804,20.888,20.936,20.6,296440.63,296440.63,20.756,0.1320000000000014,0.636,1543008.689,20.3528,20.374000000000002,19.891600000000004,19.4256,19.288666666666668
2010-04-15,20.8,21.012,21.152,20.624,304848.8,304848.8,20.888,0.1239999999999987,0.5936,1594987.597,20.5808,20.4592,19.9758,19.507066666666667,19.339166666666667
2010-04-16,20.88,20.436,20.94,20.4,242501.28,242501.28,21.012,-0.5760000000000005,-2.7413,1248649.221,20.612000000000002,20.452,20.0376,19.587466666666668,19.36616666666667
2010-04-19,20.2,19.684,20.64,19.664,500767.05,500767.05,20.436,-0.7519999999999989,-3.6798,2519922.622,20.555200000000003,20.36,20.0526,19.637066666666666,19.38083333333333
2010-04-20,19.92,20.248,20.376,19.64,423726.03,423726.03,19.684,0.5640000000000001,2.8653,2125985.096,20.4536,20.3476,20.0972,19.696533333333335,19.387416666666667
2010-04-21,20.28,20.808,20.944,20.2,454960.56,454960.56,20.248,0.5599999999999987,2.7657,2356458.276,20.4376,20.395200000000003,20.1842,19.762800000000002,19.410083333333333
2010-04-22,20.68,20.708,21.14,20.52,432916.08,432916.08,20.808,-0.1000000000000014,-0.4806,2257690.525,20.3768,20.4788,20.2622,19.8232,19.440916666666666
2010-04-23,20.82,20.708,21.18,20.44,355425.19,355425.19,20.708,0.0,0.0,1852355.344,20.431199999999997,20.5216,20.3536,19.886799999999997,19.47158333333333
2010-04-26,20.704,20.276,20.836,20.272,226695.44,226695.44,20.708,-0.4319999999999986,-2.0862,1161687.001,20.549599999999998,20.5524,20.4026,19.94066666666667,19.487916666666667
2010-04-27,20.156,19.856,20.156,19.404,385288.33,385288.33,20.276,-0.4199999999999981,-2.0714,1896412.195,20.4712,20.462400000000002,20.3906,19.9944,19.484750000000002
2010-04-28,19.56,19.596,19.892,19.48,194854.14,194854.14,19.856,-0.2600000000000015,-1.3094,958104.408,20.2288,20.333199999999998,20.3536,20.0388,19.477166666666665
2010-04-29,19.8,19.384,19.948,19.36,183823.5,183823.5,19.596,-0.2119999999999997,-1.0819,903803.621,19.964000000000002,20.1704,20.314799999999998,20.040666666666667,19.46366666666667
2010-04-30,19.404,19.76,19.82,19.08,302174.41,302174.41,19.384,0.3760000000000012,1.9397,1476549.044,19.774400000000004,20.1028,20.2774,20.05933333333333,19.466333333333335
