trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema12,ema26,diff,dea,bar,macd-m,macd-s,macd-h,MA5,MA10,MA20,MA30,MA48
2020-03-17,30.013,30.5873,27.2184,28.8339,29.5996,1276809.85,-0.7656999999999989,-2.5869,4801212.352,32.95033965015856,33.82947476281456,-0.8791351126560016,0.014466973780301401,-1.787204172872606,-0.8791351126560016,0.014466973780301401,-1.787204172872606,31.61778,32.99824,35.143565,34.81689333333333,33.64964583333333
2020-03-18,29.1708,30.4494,28.4817,28.6502,28.8339,969423.97,-0.1836999999999982,-0.6371,3746109.962,32.288779703980325,33.44582478038385,-1.1570450764035272,-0.21983543625646426,-1.8744192802941257,-1.1570450764035272,-0.21983543625646426,-1.8744192802941257,30.614800000000002,32.3551,34.812045,34.63339666666666,33.646775
2020-03-19,28.4817,29.1555,27.2797,28.4664,28.6502,1223728.93,-0.1838000000000015,-0.6415,4514530.636,31.700721287983352,33.076978500355416,-1.3762572123720638,-0.45111979147958414,-1.8502748417849593,-1.3762572123720638,-0.45111979147958414,-1.8502748417849593,29.688380000000002,31.719620000000003,34.332755,34.445813333333334,33.64533958333333
2020-03-20,28.9641,29.5536,28.3286,29.2627,28.4664,1059396.45,0.7962999999999987,2.7973,4016192.324,31.325641089832068,32.794439352180945,-1.4687982623488764,-0.6546554856534426,-1.6282855533908678,-1.4687982623488764,-0.6546554856534426,-1.6282855533908678,28.962560000000003,31.157640000000004,33.868395,34.329436666666666,33.64725416666667
2020-03-23,27.6625,28.1755,26.338,26.338,29.2627,1319124.04,-2.924699999999998,-9.9946,4648531.716,30.558311691396366,32.31618458535273,-1.757872893956364,-0.8752989673140268,-1.7651478532846743,-1.757872893956364,-0.8752989673140268,-1.7651478532846743,28.31024,30.539009999999998,33.232915000000006,34.10434,33.58504583333333
2020-03-24,27.1036,27.3103,25.9551,27.1113,26.338,1001008.8,0.773299999999999,2.9361,3506019.338,30.02800220041231,31.930637579030304,-1.902635378617994,-1.08076624957482,-1.6437382580863478,-1.902635378617994,-1.08076624957482,-1.6437382580863478,27.965719999999997,29.79175,32.63457,33.84683333333333,33.55394166666667
2020-03-25,28.4664,29.8216,28.4435,29.8216,27.1113,1388617.39,2.7103,9.9969,5333855.068,29.996248015733492,31.774412573176207,-1.7781645574427145,-1.2202459111483988,-1.1158372925886315,-1.7781645574427145,-1.2202459111483988,-1.1158372925886315,28.2,29.407400000000003,32.30305,33.68987666666667,33.53783125
2020-03-26,29.4771,29.5,28.5966,28.5966,29.8216,986156.43,-1.2250000000000014,-4.1078,3745481.436,29.780917551774493,31.53901904923723,-1.7581014974627358,-1.327817028411266,-0.8605689381029396,-1.7581014974627358,-1.327817028411266,-0.8605689381029396,28.22604,28.957210000000003,31.942815000000003,33.517606666666666,33.49986875
2020-03-27,29.3622,29.3622,27.7544,28.3669,28.5966,915621.07,-0.2296999999999975,-0.8032,3418452.467,29.563376389963032,31.30404726781225,-1.7406708778492188,-1.4103877982988566,-0.6605661591007244,-1.7406708778492188,-1.4103877982988566,-0.6605661591007244,28.046879999999998,28.50472,31.531285000000004,33.331046666666666,33.42920625
2020-03-30,27.6778,29.5536,27.4175,29.2321,28.3669,1260316.11,0.865199999999998,3.05,4674669.409,29.51241079150718,31.15056969241875,-1.63815890091157,-1.4559420188213992,-0.3644337641803417,-1.63815890091157,-1.4559420188213992,-0.3644337641803417,28.625700000000002,28.467969999999998,31.13277,33.127386666666666,33.37098541666666
2020-03-31,29.7757,29.9518,28.8186,29.2168,29.2321,677098.32,-0.0152999999999998,-0.0523,2592942.703,29.466932208198383,31.007327492980323,-1.5403952847819404,-1.4728326720135074,-0.135125225536866,-1.5403952847819404,-1.4728326720135074,-0.135125225536866,29.046799999999998,28.506259999999997,30.752249999999997,32.93113,33.28261875
2020-04-01,29.0943,31.1462,29.0177,29.8982,29.2168,987490.66,0.6814,2.3322,3907435.47,29.533281099244785,30.925169900907708,-1.3918888016629225,-1.4566438979433904,0.12951019256093588,-1.3918888016629225,-1.4566438979433904,0.12951019256093588,29.06212,28.63106,30.49308,32.75171666666667,33.22280416666667
2020-04-02,29.5919,32.3559,29.569,32.1415,29.8982,1087659.22,2.2433000000000014,7.5031,4418461.571,29.93454554551482,31.015268426766397,-1.0807228812515781,-1.381459694605028,0.6014736267068996,-1.0807228812515781,-1.381459694605028,0.6014736267068996,29.7711,28.998569999999994,30.359095000000003,32.55469333333333,33.224081250000005
2020-04-03,31.5443,32.1951,30.9318,31.5673,32.1415,789300.66,-0.5742000000000012,-1.7865,3238399.649,30.18573853851254,31.05615965441333,-0.8704211159007933,-1.2792519788641812,0.8176617259267758,-0.8704211159007933,-1.2792519788641812,0.8176617259267758,30.411179999999995,29.22903,30.193334999999998,32.32194,33.186279166666665
2020-04-07,32.9225,32.9225,31.797,32.2793,31.5673,827870.45,0.7119999999999997,2.2555,3499129.713,30.507824917202917,31.146762642975308,-0.63893772577239,-1.1511891282458229,1.0245028049468656,-0.63893772577239,-1.1511891282458229,1.0245028049468656,31.020619999999997,29.82316,30.181085000000003,32.09633,33.15501458333333
2020-04-08,32.1568,33.4584,31.8582,32.4554,32.2793,847944.42,0.1760999999999981,0.5456,3608645.532,30.807451853017852,31.243698743495656,-0.4362468904778041,-1.0082006806922192,1.1439075804288303,-0.4362468904778041,-1.0082006806922192,1.1439075804288303,31.66834,30.35757,30.074659999999994,31.87557,33.078291666666665
