symbol,trade_date,pct_change,sz_max_10,diff,dea,jx_days_ud60,jx_dg_120,jx_dg_60,jx_dg_20,jx_dg_10,jx_dg_5,jx_zs_5,jx_zs_10,jx_zs_20,jx_zs_60,pct_fl_1_3,pct_fl_3_10,pct_fl_20_60,sz_jt_20
000001,2019-04-02,1.49,9.9187,0.272077,0.257372,0,0.111508,0.363871,0.0744745,0.282512,1.23051,3,3,3,48,0.607792,1.75581,1.12876,1
000001,2019-04-01,3.06,11.5512,0.226507,0.253696,0,0.118013,0.358836,0.0472286,0.134485,1.06793,2,2,2,47,1.62483,1.56301,1.16576,1
000001,2019-03-05,0.59,0.166667,0.604698,0.47807,0,0.147873,0.269376,0.553358,0.915386,0.84556,12,12,35,28,0.675581,1.21574,1.83388,0
000002,2023-01-05,1.36,0.0,0.280494,0.372169,0,0.0362892,0.12069,0.125397,0.194107,0.462102,2,2,2,29,0.818363,1.71699,0.642095,0
000002,2022-11-29,9.99,8.6564,0.44898,0.068611,0,0.0725481,0.189913,0.916345,0.870231,2.18183,4,4,13,3,1.293,2.52741,1.44387,1
000002,2021-03-01,0.81,0.482005,0.835123,0.329046,0,0.114254,0.0612642,0.417507,0.850406,1.39841,12,12,8,8,0.499877,2.59259,1.20693,0
000002,2021-02-26,0.36,1.29576,0.652333,0.202527,0,0.107685,0.0761335,0.404761,0.863217,1.29089,11,11,7,7,1.41876,2.52721,1.19957,0
000002,2021-02-25,10.81,1.658,0.434993,0.090075,0,0.103945,0.0772936,0.306795,1.05914,1.20724,10,10,6,6,2.83445,1.78214,1.1269,0
000002,2020-11-30,-3.1,1.51036,0.752888,0.689855,0,0.0915715,0.113125,0.283686,0.300363,-0.135517,0,0,21,21,2.16375,1.20891,1.04524,0
000002,2020-11-19,0.53,2.44073,0.64308,0.433405,0,0.123077,0.127509,0.314625,0.345276,0.474976,3,14,14,14,0.593198,1.40476,1.089,0
000002,2020-11-09,0.4,5.37674,0.28746,0.0667983,0,0.0898379,0.132036,0.140128,0.346721,0.696179,7,6,6,6,0.789828,1.38919,0.91012,0
000002,2020-11-02,1.58,7.07621,-0.104411,-0.0753267,0,0.0525007,0.0795071,0.0369455,0.0473798,-0.0227148,2,1,1,1,1.05535,1.31494,0.821719,1
000002,2020-10-12,1.09,0.0,0.168171,0.247435,0,0.0479904,0.00568565,0.0263803,-0.217103,0.30434,1,0,1,45,1.57769,1.21325,0.806213,0
000002,2020-09-07,1.39,3.32061,0.289621,0.209637,0,-0.000200421,0.137419,0.184689,0.294624,0.519635,7,4,7,26,1.77329,1.57953,0.714131,0
000002,2020-09-04,1.02,4.76006,0.230668,0.189641,0,-0.0174366,0.112846,0.233029,0.161743,0.226036,6,3,6,25,1.06744,1.26145,0.70361,0
000002,2020-08-12,3.37,2.00236,0.0689322,-0.0269729,0,-0.0196253,0.100004,0.0508749,0.378029,0.635503,3,3,3,8,1.19526,1.28248,0.957123,0
000002,2020-07-06,9.33,0.0,0.703261,0.214898,0,-0.0299848,0.175357,0.526062,1.22758,2.3162,7,7,4,4,1.1865,1.85383,1.49499,0
000002,2020-07-03,1.03,9.32704,0.407675,0.092807,0,-0.0686955,0.0732555,0.224014,0.726339,1.06538,6,6,3,3,0.736407,2.55932,1.3882,1
