,trade_date,ts_code,name,industry,area,pe,float_share,total_share,total_assets,liquid_assets,fixed_assets,reserved,reserved_pershare,eps,bvps,pb,list_date,undp,per_undp,rev_yoy,profit_yoy,gpr,npr,holder_num
270,20220325,002772.SZ,众兴菌业,种植业,甘肃,60.26,4.02,4.07,65.51,30.79,25.37,20.38,5.0,0.14,7.76,1.05,20150626,8.19,2.01,4.92,-70.91,18.51,3.53,50114
271,20220325,600211.SH,西藏药业,中成药,西藏,50.77,2.48,2.48,38.03,21.82,4.88,12.65,5.1,0.84,10.61,4.03,19990721,10.43,4.21,55.75,-50.03,89.56,9.77,62816
272,20220325,300446.SZ,*ST乐材,化工原料,河北,329.92,1.98,2.03,8.2,3.84,1.51,0.01,0.0,0.03,3.2,4.15,20150423,3.77,1.86,18.08,126.56,39.9,5.18,10627
273,20220325,601010.SH,文峰股份,超市连锁,江苏,23.54,18.48,18.48,74.95,23.06,33.69,8.45,0.46,0.106,2.57,1.29,20110603,16.21,0.88,13.39,25.67,46.76,10.63,102091
274,20220325,603590.SH,康辰药业,生物制药,北京,26.4,1.6,1.6,34.45,13.94,2.65,9.9,6.19,0.87,17.94,1.68,20180827,17.84,11.15,8.47,-3.2,86.88,23.0,15901
275,20220325,600816.SH,ST安信,多元金融,上海,0.0,52.64,54.69,200.0,76.13,0.04,31.22,0.57,-0.333,-0.17,-25.22,19940128,-112.23,-2.05,0.0,52.32,0.0,0.0,80021
276,20220325,002041.SZ,登海种业,种植业,山东,131.19,8.8,8.8,41.74,34.6,5.08,0.29,0.03,0.133,3.38,6.87,20050418,17.55,1.99,19.63,100.02,38.21,22.8,72321
277,20220325,600148.SH,长春一东,汽车配件,吉林,48.67,1.42,1.42,14.58,12.33,1.64,0.89,0.63,0.23,3.45,4.33,19980520,2.13,1.5,8.04,-33.11,25.18,3.33,18189
278,20220325,600857.SH,宁波中百,百货,浙江,68.75,2.24,2.24,9.41,2.87,1.82,0.65,0.29,0.14,2.13,5.92,19940425,-0.57,-0.25,16.86,77.79,8.74,4.78,10928
279,20220325,300941.SZ,创识科技,软件服务,福建,75.51,0.57,1.37,11.94,11.78,0.02,6.37,4.67,0.4,8.25,4.63,20210209,3.15,2.31,-26.28,-27.63,36.58,20.51,20230
