,ts_code,symbol,name,area,industry,market,exchange,list_date,is_hs
344,688656.SH,688656,浩欧博,江苏,医疗保健,科创板,SSE,20210113,N
345,688658.SH,688658,悦康药业,北京,化学制药,科创板,SSE,20201224,N
346,688659.SH,688659,元琛科技,安徽,环境保护,科创板,SSE,20210331,N
347,688660.SH,688660,电气风电,上海,电气设备,科创板,SSE,20210519,N
348,688661.SH,688661,和林微纳,江苏,元器件,科创板,SSE,20210329,N
349,688662.SH,688662,富信科技,广东,半导体,科创板,SSE,20210401,N
350,688663.SH,688663,新风光,山东,电气设备,科创板,SSE,20210413,N
351,688665.SH,688665,四方光电,湖北,电器仪表,科创板,SSE,20210209,N
352,688667.SH,688667,菱电电控,湖北,汽车配件,科创板,SSE,20210312,N
353,688668.SH,688668,鼎通科技,广东,元器件,科创板,SSE,20201221,N
354,688669.SH,688669,聚石化学,广东,化工原料,科创板,SSE,20210125,N
355,688670.SH,688670,金迪克,江苏,生物制药,科创板,SSE,20210802,N
356,688676.SH,688676,金盘科技,海南,电气设备,科创板,SSE,20210309,N
357,688677.SH,688677,海泰新光,山东,医疗保健,科创板,SSE,20210226,N
358,688678.SH,688678,福立旺,江苏,元器件,科创板,SSE,20201223,N
359,688679.SH,688679,通源环境,安徽,环境保护,科创板,SSE,20201225,N
360,688680.SH,688680,海优新材,上海,塑料,科创板,SSE,20210122,N
361,688681.SH,688681,科汇股份,山东,电气设备,科创板,SSE,20210616,N
362,688682.SH,688682,霍莱沃,上海,软件服务,科创板,SSE,20210420,N
363,688683.SH,688683,莱尔科技,广东,化工原料,科创板,SSE,20210412,N
364,688685.SH,688685,迈信林,江苏,航空,科创板,SSE,20210513,N
365,688686.SH,688686,奥普特,广东,电器仪表,科创板,SSE,20201231,N
366,688687.SH,688687,凯因科技,北京,生物制药,科创板,SSE,20210208,N
367,688689.SH,688689,银河微电,江苏,元器件,科创板,SSE,20210127,N
368,688690.SH,688690,纳微科技,江苏,化工原料,科创板,SSE,20210623,N
369,688696.SH,688696,极米科技,四川,IT设备,科创板,SSE,20210303,N
370,688697.SH,688697,纽威数控,江苏,机床制造,科创板,SSE,20210917,N
371,688698.SH,688698,伟创电气,江苏,电气设备,科创板,SSE,20201229,N
372,688699.SH,688699,明微电子,深圳,半导体,科创板,SSE,20201218,N
373,688700.SH,688700,东威科技,江苏,专用机械,科创板,SSE,20210615,N
374,688701.SH,688701,卓锦股份,浙江,环境保护,科创板,SSE,20210916,N
375,688707.SH,688707,振华新材-U,贵州,化工原料,科创板,SSE,20210914,N
376,688711.SH,688711,宏微科技,江苏,半导体,科创板,SSE,20210901,N
377,688718.SH,688718,唯赛勃,上海,水务,科创板,SSE,20210728,N
378,688722.SH,688722,同益中,北京,化纤,科创板,SSE,20211019,N
379,688728.SH,688728,格科微,上海,半导体,科创板,SSE,20210818,N
380,688733.SH,688733,壹石通,安徽,矿物制品,科创板,SSE,20210817,N
381,688737.SH,688737,中自科技,四川,化工原料,科创板,SSE,20211022,N
382,688739.SH,688739,成大生物,辽宁,生物制药,科创板,SSE,20211028,N
383,688766.SH,688766,普冉股份,上海,半导体,科创板,SSE,20210823,N
384,688767.SH,688767,博拓生物,浙江,医疗保健,科创板,SSE,20210908,N
385,688768.SH,688768,容知日新,安徽,电器仪表,科创板,SSE,20210726,N
386,688772.SH,688772,珠海冠宇,广东,电气设备,科创板,SSE,20211015,N
387,688776.SH,688776,国光电气,四川,元器件,科创板,SSE,20210831,N
388,688777.SH,688777,中控技术,浙江,软件服务,科创板,SSE,20201124,N
389,688778.SH,688778,厦钨新能,福建,元器件,科创板,SSE,20210805,N
390,688779.SH,688779,长远锂科,湖南,电气设备,科创板,SSE,20210811,N
391,688786.SH,688786,悦安新材,江西,小金属,科创板,SSE,20210826,N
392,688787.SH,688787,海天瑞声,北京,软件服务,科创板,SSE,20210813,N
393,688788.SH,688788,科思科技,深圳,通信设备,科创板,SSE,20201022,N
394,688789.SH,688789,宏华数科,浙江,专用机械,科创板,SSE,20210708,N
395,688793.SH,688793,倍轻松,深圳,家居用品,科创板,SSE,20210715,N
396,688798.SH,688798,艾为电子,上海,半导体,科创板,SSE,20210816,N
397,688799.SH,688799,华纳药厂,湖南,化学制药,科创板,SSE,20210713,N
398,688800.SH,688800,瑞可达,江苏,元器件,科创板,SSE,20210722,N
399,688819.SH,688819,天能股份,浙江,电气设备,科创板,SSE,20210118,N
400,688981.SH,688981,中芯国际,上海,半导体,科创板,SSE,20200716,H
