ts_code,name
601318.SH,中国平安
002475.SZ,立讯精密
600352.SH,浙江龙盛
600143.SH,金发科技
600031.SH,三一重工
601318.SH,招商蛇口
002241.SZ,歌儿股份
000333.SZ,美的股份
000651.SZ,格力股份
000977.SZ,浪潮信息
