trade_date,ts_code,open,high,low,close,pre_close,change,pct_change,volume,value,pct_upper,pct_down,pct_range,st_high,st_low,pct_st_range,diff,dea,bar,MA5,MA10,MA20,MA30,MA60,MA125,MA3_pct_change,MA5_pct_change,MA10_pct_change,MA15_pct_change,MA30_pct_change,MAX3_pct_change,MAX5_pct_change,MAX10_pct_change,MAX15_pct_change,MAX30_pct_change,MAX90_high,MAX30_high,MAX3_high,bb-u,bb-m,bb-l,upper,middle,lower
20200102,603983.SH,60.7,63.61,60.07,63.15,60.03,3.12,5.1974,34487.8,214074.0,0.766283524904216,1.0494752623688197,5.897051474262867,63.15,60.7,4.081292686989832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200103,603983.SH,63.01,64.88,62.51,63.12,63.15,-0.03,-0.0475,24312.8,154171.0,2.787015043547107,0.7917656373713382,3.7529691211401386,63.12,63.01,0.1741884402216935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200106,603983.SH,62.0,67.35,61.49,65.92,63.12,2.8,4.436,43892.7,284602.0,2.2655259822560088,0.8079847908745216,9.283903675538644,65.92,62.0,6.210392902408114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1952999999999996,0.0,0.0,0.0,0.0,5.1974,0.0,0.0,0.0,0.0,0.0,0.0,67.35,0.0,0.0,0.0,0.0,0.0,0.0
20200107,603983.SH,65.28,66.9,65.01,65.94,65.92,0.02,0.0303,27436.6,181162.0,1.4563106796116625,0.4095873786407706,2.8671116504854375,65.94,65.28,1.0012135922330045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.472933333333333,0.0,0.0,0.0,0.0,4.436,0.0,0.0,0.0,0.0,0.0,0.0,67.35,0.0,0.0,0.0,0.0,0.0,0.0
