,ts_code,symbol,name,area,industry,market,exchange,list_status,list_date,is_hs
73,300203.SZ,300203,聚光科技,浙江,环境保护,创业板,SZSE,L,20110415,S
74,300206.SZ,300206,理邦仪器,深圳,医疗保健,创业板,SZSE,L,20110421,S
75,300207.SZ,300207,欣旺达,深圳,元器件,创业板,SZSE,L,20110421,S
76,300212.SZ,300212,易华录,北京,软件服务,创业板,SZSE,L,20110505,S
77,300215.SZ,300215,电科院,江苏,电气设备,创业板,SZSE,L,20110511,S
78,300219.SZ,300219,鸿利智汇,广东,元器件,创业板,SZSE,L,20110518,S
79,300222.SZ,300222,科大智能,上海,电气设备,创业板,SZSE,L,20110525,S
80,300223.SZ,300223,北京君正,北京,半导体,创业板,SZSE,L,20110531,S
81,300224.SZ,300224,正海磁材,山东,元器件,创业板,SZSE,L,20110531,S
82,300225.SZ,300225,金力泰,上海,染料涂料,创业板,SZSE,L,20110531,S
83,300226.SZ,300226,上海钢联,上海,互联网,创业板,SZSE,L,20110608,S
84,300229.SZ,300229,拓尔思,北京,软件服务,创业板,SZSE,L,20110615,S
85,300232.SZ,300232,洲明科技,深圳,半导体,创业板,SZSE,L,20110622,S
86,300233.SZ,300233,金城医药,山东,化学制药,创业板,SZSE,L,20110622,S
87,300236.SZ,300236,上海新阳,上海,半导体,创业板,SZSE,L,20110629,S
88,300244.SZ,300244,迪安诊断,浙江,医疗保健,创业板,SZSE,L,20110719,S
89,300251.SZ,300251,光线传媒,北京,影视音像,创业板,SZSE,L,20110803,S
90,300253.SZ,300253,卫宁健康,上海,软件服务,创业板,SZSE,L,20110818,S
91,300255.SZ,300255,常山药业,河北,生物制药,创业板,SZSE,L,20110819,S
92,300257.SZ,300257,开山股份,浙江,机械基件,创业板,SZSE,L,20110819,S
93,300263.SZ,300263,隆华科技,河南,专用机械,创业板,SZSE,L,20110916,S
94,300267.SZ,300267,尔康制药,湖南,化学制药,创业板,SZSE,L,20110927,S
95,300271.SZ,300271,华宇软件,北京,软件服务,创业板,SZSE,L,20111026,S
96,300274.SZ,300274,阳光电源,安徽,电气设备,创业板,SZSE,L,20111102,S
97,300284.SZ,300284,苏交科,江苏,建筑工程,创业板,SZSE,L,20120110,S
98,300285.SZ,300285,国瓷材料,山东,陶瓷,创业板,SZSE,L,20120113,S
99,300287.SZ,300287,飞利信,北京,软件服务,创业板,SZSE,L,20120201,S
100,300294.SZ,300294,博雅生物,江西,生物制药,创业板,SZSE,L,20120308,S
101,300296.SZ,300296,利亚德,北京,半导体,创业板,SZSE,L,20120315,S
102,300298.SZ,300298,三诺生物,湖南,医疗保健,创业板,SZSE,L,20120319,S
103,300303.SZ,300303,聚飞光电,深圳,半导体,创业板,SZSE,L,20120319,S
104,300308.SZ,300308,中际旭创,山东,通信设备,创业板,SZSE,L,20120410,S
105,300315.SZ,300315,掌趣科技,北京,互联网,创业板,SZSE,L,20120511,S
106,300316.SZ,300316,晶盛机电,浙江,专用机械,创业板,SZSE,L,20120511,S
107,300318.SZ,300318,博晖创新,北京,医疗保健,创业板,SZSE,L,20120523,S
108,300319.SZ,300319,麦捷科技,深圳,元器件,创业板,SZSE,L,20120523,S
109,300324.SZ,300324,旋极信息,北京,软件服务,创业板,SZSE,L,20120608,S
110,300326.SZ,300326,凯利泰,上海,医疗保健,创业板,SZSE,L,20120613,S
111,300327.SZ,300327,中颖电子,上海,半导体,创业板,SZSE,L,20120613,S
112,300339.SZ,300339,润和软件,江苏,软件服务,创业板,SZSE,L,20120718,S
113,300346.SZ,300346,南大光电,江苏,元器件,创业板,SZSE,L,20120807,S
114,300347.SZ,300347,泰格医药,浙江,医疗保健,创业板,SZSE,L,20120817,S
115,300348.SZ,300348,长亮科技,深圳,软件服务,创业板,SZSE,L,20120817,S
116,300352.SZ,300352,北信源,北京,软件服务,创业板,SZSE,L,20120912,S
117,300355.SZ,300355,蒙草生态,内蒙,环境保护,创业板,SZSE,L,20120927,S
118,300357.SZ,300357,我武生物,浙江,生物制药,创业板,SZSE,L,20140121,S
119,300358.SZ,300358,楚天科技,湖南,医疗保健,创业板,SZSE,L,20140121,S
120,300368.SZ,300368,汇金股份,河北,IT设备,创业板,SZSE,L,20140123,S
121,300369.SZ,300369,绿盟科技,北京,软件服务,创业板,SZSE,L,20140129,S
122,300373.SZ,300373,扬杰科技,江苏,半导体,创业板,SZSE,L,20140123,S
123,300376.SZ,300376,易事特,广东,电气设备,创业板,SZSE,L,20140127,S
124,300377.SZ,300377,赢时胜,深圳,软件服务,创业板,SZSE,L,20140127,S
125,300379.SZ,300379,东方通,北京,软件服务,创业板,SZSE,L,20140128,S
126,300382.SZ,300382,斯莱克,江苏,专用机械,创业板,SZSE,L,20140129,S
127,300383.SZ,300383,光环新网,北京,电信运营,创业板,SZSE,L,20140129,S
128,300384.SZ,300384,三联虹普,北京,建筑工程,创业板,SZSE,L,20140801,S
129,300386.SZ,300386,飞天诚信,北京,软件服务,创业板,SZSE,L,20140626,S
130,300390.SZ,300390,天华超净,江苏,电气设备,创业板,SZSE,L,20140731,S
131,300394.SZ,300394,天孚通信,江苏,通信设备,创业板,SZSE,L,20150217,S
132,300395.SZ,300395,菲利华,湖北,玻璃,创业板,SZSE,L,20140910,S
133,300397.SZ,300397,天和防务,陕西,通信设备,创业板,SZSE,L,20140910,S
134,300398.SZ,300398,飞凯材料,上海,染料涂料,创业板,SZSE,L,20141009,S
135,300401.SZ,300401,花园生物,浙江,食品,创业板,SZSE,L,20141009,S
136,300406.SZ,300406,九强生物,北京,医疗保健,创业板,SZSE,L,20141030,S
137,300408.SZ,300408,三环集团,广东,元器件,创业板,SZSE,L,20141203,S
138,300409.SZ,300409,道氏技术,广东,陶瓷,创业板,SZSE,L,20141203,S
139,300413.SZ,300413,芒果超媒,湖南,影视音像,创业板,SZSE,L,20150121,S
140,300418.SZ,300418,昆仑万维,北京,互联网,创业板,SZSE,L,20150121,S
141,300428.SZ,300428,立中集团,河北,汽车配件,创业板,SZSE,L,20150319,S
142,300429.SZ,300429,强力新材,江苏,化工原料,创业板,SZSE,L,20150324,S
143,300432.SZ,300432,富临精工,四川,汽车配件,创业板,SZSE,L,20150319,S
144,300433.SZ,300433,蓝思科技,湖南,元器件,创业板,SZSE,L,20150318,S
145,300438.SZ,300438,鹏辉能源,广东,电气设备,创业板,SZSE,L,20150424,S
146,300441.SZ,300441,鲍斯股份,浙江,机床制造,创业板,SZSE,L,20150423,S
147,300443.SZ,300443,金雷股份,山东,电气设备,创业板,SZSE,L,20150422,S
148,300450.SZ,300450,先导智能,江苏,专用机械,创业板,SZSE,L,20150518,S
149,300451.SZ,300451,创业慧康,浙江,软件服务,创业板,SZSE,L,20150514,S
150,300454.SZ,300454,深信服,深圳,软件服务,创业板,SZSE,L,20180516,S
151,300455.SZ,300455,康拓红外,北京,运输设备,创业板,SZSE,L,20150515,S
152,300456.SZ,300456,赛微电子,北京,元器件,创业板,SZSE,L,20150514,S
153,300457.SZ,300457,赢合科技,深圳,专用机械,创业板,SZSE,L,20150514,S
154,300458.SZ,300458,全志科技,广东,元器件,创业板,SZSE,L,20150515,S
155,300459.SZ,300459,汤姆猫,浙江,互联网,创业板,SZSE,L,20150515,S
156,300463.SZ,300463,迈克生物,四川,医疗保健,创业板,SZSE,L,20150528,S
157,300470.SZ,300470,中密控股,四川,机械基件,创业板,SZSE,L,20150612,S
158,300474.SZ,300474,景嘉微,湖南,元器件,创业板,SZSE,L,20160331,S
159,300476.SZ,300476,胜宏科技,广东,元器件,创业板,SZSE,L,20150611,S
160,300477.SZ,300477,合纵科技,北京,电气设备,创业板,SZSE,L,20150610,S
161,300482.SZ,300482,万孚生物,广东,医疗保健,创业板,SZSE,L,20150630,S
162,300487.SZ,300487,蓝晓科技,陕西,化工原料,创业板,SZSE,L,20150702,S
163,300496.SZ,300496,中科创达,北京,软件服务,创业板,SZSE,L,20151210,S
164,300497.SZ,300497,富祥药业,江西,化学制药,创业板,SZSE,L,20151222,S
165,300498.SZ,300498,温氏股份,广东,农业综合,创业板,SZSE,L,20151102,S
166,300502.SZ,300502,新易盛,四川,通信设备,创业板,SZSE,L,20160303,S
167,300525.SZ,300525,博思软件,福建,软件服务,创业板,SZSE,L,20160726,S
168,300527.SZ,300527,中船应急,湖北,专用机械,创业板,SZSE,L,20160805,S
169,300529.SZ,300529,健帆生物,广东,医疗保健,创业板,SZSE,L,20160802,S
170,300548.SZ,300548,博创科技,浙江,元器件,创业板,SZSE,L,20161012,S
171,300558.SZ,300558,贝达药业,浙江,化学制药,创业板,SZSE,L,20161107,S
172,300567.SZ,300567,精测电子,湖北,电器仪表,创业板,SZSE,L,20161122,S
173,300568.SZ,300568,星源材质,深圳,化工原料,创业板,SZSE,L,20161201,S
174,300572.SZ,300572,安车检测,深圳,电器仪表,创业板,SZSE,L,20161206,S
175,300573.SZ,300573,兴齐眼药,辽宁,化学制药,创业板,SZSE,L,20161208,S
176,300576.SZ,300576,容大感光,深圳,染料涂料,创业板,SZSE,L,20161220,S
177,300579.SZ,300579,数字认证,北京,软件服务,创业板,SZSE,L,20161223,S
178,300581.SZ,300581,晨曦航空,陕西,航空,创业板,SZSE,L,20161220,S
179,300587.SZ,300587,天铁股份,浙江,橡胶,创业板,SZSE,L,20170105,S
180,300590.SZ,300590,移为通信,上海,通信设备,创业板,SZSE,L,20170111,S
181,300593.SZ,300593,新雷能,北京,电气设备,创业板,SZSE,L,20170113,S
182,300595.SZ,300595,欧普康视,安徽,医疗保健,创业板,SZSE,L,20170117,S
183,300596.SZ,300596,利安隆,天津,化工原料,创业板,SZSE,L,20170119,S
184,300598.SZ,300598,诚迈科技,江苏,软件服务,创业板,SZSE,L,20170120,S
185,300601.SZ,300601,康泰生物,深圳,生物制药,创业板,SZSE,L,20170207,S
186,300602.SZ,300602,飞荣达,深圳,元器件,创业板,SZSE,L,20170126,S
187,300604.SZ,300604,长川科技,浙江,专用机械,创业板,SZSE,L,20170417,S
188,300607.SZ,300607,拓斯达,广东,专用机械,创业板,SZSE,L,20170209,S
189,300613.SZ,300613,富瀚微,上海,半导体,创业板,SZSE,L,20170220,S
190,300616.SZ,300616,尚品宅配,广东,家居用品,创业板,SZSE,L,20170307,S
191,300618.SZ,300618,寒锐钴业,江苏,小金属,创业板,SZSE,L,20170306,S
192,300623.SZ,300623,捷捷微电,江苏,半导体,创业板,SZSE,L,20170314,S
193,300624.SZ,300624,万兴科技,西藏,软件服务,创业板,SZSE,L,20180118,S
194,300627.SZ,300627,华测导航,上海,通信设备,创业板,SZSE,L,20170321,S
195,300628.SZ,300628,亿联网络,福建,通信设备,创业板,SZSE,L,20170317,S
196,300630.SZ,300630,普利制药,海南,化学制药,创业板,SZSE,L,20170328,S
197,300633.SZ,300633,开立医疗,深圳,医疗保健,创业板,SZSE,L,20170406,S
198,300634.SZ,300634,彩讯股份,深圳,软件服务,创业板,SZSE,L,20180323,S
199,300638.SZ,300638,广和通,深圳,通信设备,创业板,SZSE,L,20170413,S
200,300639.SZ,300639,凯普生物,广东,医疗保健,创业板,SZSE,L,20170412,S
201,300653.SZ,300653,正海生物,山东,医疗保健,创业板,SZSE,L,20170516,S
202,300655.SZ,300655,晶瑞电材,江苏,化工原料,创业板,SZSE,L,20170523,S
203,300657.SZ,300657,弘信电子,福建,元器件,创业板,SZSE,L,20170523,S
204,300659.SZ,300659,中孚信息,山东,软件服务,创业板,SZSE,L,20170526,S
205,300661.SZ,300661,圣邦股份,北京,半导体,创业板,SZSE,L,20170606,S
206,300662.SZ,300662,科锐国际,北京,综合类,创业板,SZSE,L,20170608,S
207,300663.SZ,300663,科蓝软件,北京,软件服务,创业板,SZSE,L,20170608,S
208,300666.SZ,300666,江丰电子,浙江,元器件,创业板,SZSE,L,20170615,S
209,300671.SZ,300671,富满微,深圳,半导体,创业板,SZSE,L,20170705,S
210,300672.SZ,300672,国科微,湖南,半导体,创业板,SZSE,L,20170712,S
211,300674.SZ,300674,宇信科技,北京,软件服务,创业板,SZSE,L,20181107,S
212,300676.SZ,300676,华大基因,深圳,医疗保健,创业板,SZSE,L,20170714,S
213,300677.SZ,300677,英科医疗,山东,医疗保健,创业板,SZSE,L,20170721,S
214,300679.SZ,300679,电连技术,深圳,元器件,创业板,SZSE,L,20170731,S
215,300682.SZ,300682,朗新科技,江苏,软件服务,创业板,SZSE,L,20170801,S
216,300685.SZ,300685,艾德生物,福建,医疗保健,创业板,SZSE,L,20170802,S
217,300696.SZ,300696,爱乐达,四川,航空,创业板,SZSE,L,20170822,S
218,300699.SZ,300699,光威复材,山东,化工原料,创业板,SZSE,L,20170901,S
219,300702.SZ,300702,天宇股份,浙江,化学制药,创业板,SZSE,L,20170919,S
220,300708.SZ,300708,聚灿光电,江苏,半导体,创业板,SZSE,L,20171016,S
221,300712.SZ,300712,永福股份,福建,建筑工程,创业板,SZSE,L,20171031,S
222,300715.SZ,300715,凯伦股份,江苏,其他建材,创业板,SZSE,L,20171026,S
223,300722.SZ,300722,新余国科,江西,航空,创业板,SZSE,L,20171110,S
224,300723.SZ,300723,一品红,广东,化学制药,创业板,SZSE,L,20171116,S
225,300724.SZ,300724,捷佳伟创,深圳,专用机械,创业板,SZSE,L,20180810,S
226,300725.SZ,300725,药石科技,江苏,化学制药,创业板,SZSE,L,20171110,S
