,ts_code,hs_type,in_date,out_date,is_new
158,300523.SZ,SZ,20190102,,1
159,300595.SZ,SZ,20190102,,1
160,300602.SZ,SZ,20190102,,1
161,300630.SZ,SZ,20190102,,1
162,300633.SZ,SZ,20190102,,1
163,300634.SZ,SZ,20190102,,1
164,300661.SZ,SZ,20190102,,1
165,300741.SZ,SZ,20190102,,1
166,300747.SZ,SZ,20190102,,1
167,300750.SZ,SZ,20190102,,1
168,300760.SZ,SZ,20190102,,1
169,002798.SZ,SZ,20190514,,1
170,300233.SZ,SZ,20190514,,1
171,003816.SZ,SZ,20190909,,1
172,001914.SZ,SZ,20191216,,1
173,000544.SZ,SZ,20191216,,1
174,000592.SZ,SZ,20191216,,1
175,000657.SZ,SZ,20191216,,1
176,000672.SZ,SZ,20191216,,1
177,000682.SZ,SZ,20191216,,1
178,000708.SZ,SZ,20191216,,1
179,000720.SZ,SZ,20191216,,1
180,000795.SZ,SZ,20191216,,1
181,000815.SZ,SZ,20191216,,1
182,000863.SZ,SZ,20191216,,1
183,000923.SZ,SZ,20191216,,1
184,000931.SZ,SZ,20191216,,1
185,000958.SZ,SZ,20191216,,1
186,000967.SZ,SZ,20191216,,1
187,002036.SZ,SZ,20191216,,1
188,002041.SZ,SZ,20191216,,1
189,002057.SZ,SZ,20191216,,1
190,002130.SZ,SZ,20191216,,1
191,002194.SZ,SZ,20191216,,1
192,002216.SZ,SZ,20191216,,1
193,002234.SZ,SZ,20191216,,1
194,002274.SZ,SZ,20191216,,1
195,002301.SZ,SZ,20191216,,1
196,002367.SZ,SZ,20191216,,1
197,002378.SZ,SZ,20191216,,1
198,002423.SZ,SZ,20191216,,1
199,002467.SZ,SZ,20191216,,1
200,002481.SZ,SZ,20191216,,1
201,002550.SZ,SZ,20191216,,1
202,002617.SZ,SZ,20191216,,1
203,002639.SZ,SZ,20191216,,1
204,002695.SZ,SZ,20191216,,1
205,002733.SZ,SZ,20191216,,1
206,002746.SZ,SZ,20191216,,1
207,002777.SZ,SZ,20191216,,1
208,002796.SZ,SZ,20191216,,1
209,002941.SZ,SZ,20191216,,1
210,002946.SZ,SZ,20191216,,1
211,002950.SZ,SZ,20191216,,1
212,002951.SZ,SZ,20191216,,1
213,002958.SZ,SZ,20191216,,1
214,300034.SZ,SZ,20191216,,1
215,300043.SZ,SZ,20191216,,1
216,300123.SZ,SZ,20191216,,1
217,300131.SZ,SZ,20191216,,1
218,300191.SZ,SZ,20191216,,1
219,300194.SZ,SZ,20191216,,1
220,300223.SZ,SZ,20191216,,1
221,300224.SZ,SZ,20191216,,1
222,300236.SZ,SZ,20191216,,1
223,300292.SZ,SZ,20191216,,1
224,300322.SZ,SZ,20191216,,1
225,300327.SZ,SZ,20191216,,1
226,300379.SZ,SZ,20191216,,1
227,300394.SZ,SZ,20191216,,1
228,300428.SZ,SZ,20191216,,1
229,300502.SZ,SZ,20191216,,1
230,300559.SZ,SZ,20191216,,1
231,300570.SZ,SZ,20191216,,1
232,300577.SZ,SZ,20191216,,1
233,300596.SZ,SZ,20191216,,1
234,300638.SZ,SZ,20191216,,1
235,300674.SZ,SZ,20191216,,1
236,300702.SZ,SZ,20191216,,1
237,300723.SZ,SZ,20191216,,1
238,300751.SZ,SZ,20191216,,1
239,300755.SZ,SZ,20191216,,1
240,300759.SZ,SZ,20191223,,1
241,300761.SZ,SZ,20191216,,1
